model,val_mape_bc,test_mape_bc,val_wape,test_wape,test_mape_brand_agg,test_mape_brand_dvh,fit_time_s,predict_time_s,model_kb
SeasonalNaive,46.85945742666331,49.9167586840144,21.298316988044334,20.04956407061248,51.607498704140994,51.86181060474236,0.0,0.000264957983745262,0.0
Ridge,74.14812167976376,77.43106507522089,265.2589330365433,177.6338663489874,65.06363121130519,65.4935179516902,0.05555325001478195,0.00024291599402204156,1.421875
LightGBM_global,27.778810553600284,27.668549063107385,20.382699695540136,16.24772923834604,24.18972607113276,23.538606408536904,1.9189729579957202,0.010536541987676173,2239.896484375
XGBoost_global,25.073458297499062,27.036816265888618,21.099755797950802,19.548968137706026,25.557777745434258,24.791331187670867,2.107764375017723,0.007089457998517901,11434.5546875
