category,model,wmape,median_mape,n_series
CSD,ARIMA,24.22501069894344,43.085608806795236,77
CSD,Prophet,1.715701549531751e+18,65.6929484210683,77
danskvand,ARIMA,33.36078950645632,52.81845118017318,24
danskvand,Prophet,16.855139033481432,36.167835029127794,24
energidrikke,ARIMA,15.68736763836032,47.21902415973155,27
energidrikke,Prophet,14858220394.726212,55.43601004729835,27
RTD,ARIMA,48.245747094112225,68.04773534542173,42
RTD,Prophet,45.425378880243,49.806474160659256,42
