model,fit_time_s,predict_time_s,model_kb,mape_median,mape_mean,wape,rmse
SeasonalNaive,0.0,0.0007092499981808942,0.0,42.67702011318593,5803.534110399101,26.44485516160377,54209.52497020343
Ridge,0.12091829100245377,0.0006610000018554274,1.48046875,60.20493170299903,464.6248369737676,67.72263445561228,195218.76064393716
LightGBM_global,14.17187554100019,0.1846379579983477,14190.3955078125,21.25743199341294,56.948901772327346,21.95060866714269,65481.84293000247
XGBoost_global,2.840154875000735,0.014960500000597676,17366.9248046875,21.298083165622867,58.59484014246485,22.06701536746543,64740.667945235895
