period_year,period_month,sales_units
2023,3,0.0
2023,4,0.0
2023,5,0.0
2023,6,0.0
2023,7,0.0
2023,8,0.0
2023,9,0.0
2023,10,0.0
2023,11,0.0
2023,12,0.0
2024,1,0.0
2024,2,0.0
2024,3,17.0
2024,4,985.0
2024,5,3187.0
2024,6,5207.0
2024,7,4430.0
2024,8,3505.0
2024,9,3635.0
2024,10,2102.0
2024,11,2678.0
2024,12,3749.0
2025,1,2535.0
2025,2,2201.0
2025,3,2682.0
2025,4,2455.0
2025,5,3471.0
2025,6,3494.0
2025,7,3312.0
2025,8,3784.0
2025,9,2899.0
2025,10,1828.0
2025,11,1973.0
2025,12,2526.0
2026,1,2109.0
