category,model,mase,median_ase,wmape,medmape,n_test,pct_series_scaled,pct_rows_mape_scorable
CSD,Naive,0.9473465421693694,0.38634861562066974,29.227552581005074,35.97164432529428,665,100.0,86.2
CSD,SeasonalNaive,1.6331314212002384,0.8850866468062397,34.86228866936384,70.58823529411764,665,100.0,86.2
danskvand,Naive,0.9898442405811074,0.516283659550085,24.273217131253546,35.68633351076828,174,100.0,81.6
danskvand,SeasonalNaive,1.6031129007211111,1.131122818962277,43.960950787951816,50.568453945472456,174,100.0,81.6
energidrikke,Naive,0.6721743907535314,0.050214689265536655,22.58307609156073,30.93671566012749,308,100.0,71.4
energidrikke,SeasonalNaive,2.0160515550447147,1.029691980480195,30.624050185445,95.41864010835974,308,100.0,71.4
RTD,Naive,6.5440586850225415,0.17780021999262577,67.03424812299784,34.090909090909086,372,100.0,79.3
RTD,SeasonalNaive,14.022942406586314,0.9924874343131712,54.81059994250409,73.7882835718351,372,100.0,79.3
