category,model,brand,ym,mean_forecast,std_forecast,cv
CSD,LightGBM,1724,,134.56504356706841,13.739171580896215,0.10210059920984227
CSD,LightGBM,1724,,164.3121079201172,29.704535023117913,0.18078116944102024
CSD,LightGBM,1724,,209.5346510651494,38.60749371899865,0.18425350424257342
CSD,LightGBM,1724,,123.8526336729494,6.438272033318746,0.0519833276240207
CSD,LightGBM,1724,,163.99931731080764,6.723809579683441,0.04099900956868397
CSD,LightGBM,1724,,115.34296521846038,3.5246996770410526,0.030558427818855247
CSD,LightGBM,1724,,93.99628929954531,10.448446481568745,0.111158073998771
CSD,LightGBM,7-UP,,8717.193414882297,1288.9532712006255,0.14786333282453956
CSD,LightGBM,7-UP,,10123.443351292191,1131.6278462711948,0.1117828990594144
CSD,LightGBM,7-UP,,13359.421239627021,1447.5202543392477,0.10835201827797598
CSD,LightGBM,7-UP,,12625.10477483497,777.0624313013726,0.06154898871415743
CSD,LightGBM,7-UP,,22341.581028346416,2716.49237850434,0.12158908427553651
CSD,LightGBM,7-UP,,46942.59193187606,5810.438140376582,0.12377753126220203
CSD,LightGBM,7-UP,,43648.57519109047,3094.760254681025,0.07090174744839611
CSD,LightGBM,ABBOTT'S,,4.966890747877798,1.1187290385725295,0.2252372953946145
CSD,LightGBM,ABBOTT'S,,0.06559208372630373,0.2703872452959157,4.122254240681867
CSD,LightGBM,ABBOTT'S,,2.601348462910845,0.8691762402889868,0.33412526337067505
CSD,LightGBM,ABBOTT'S,,1.0323731355497965,0.37258959575957473,0.36090593887950206
CSD,LightGBM,ABBOTT'S,,1.4596193064382952,0.5393197763035632,0.36949345211087253
CSD,LightGBM,ABBOTT'S,,0.2592992587730935,0.007484109661045585,0.02886282705341147
CSD,LightGBM,ALBANI,,8250.944399929413,412.47870284125736,0.04999169584087685
CSD,LightGBM,ALBANI,,9904.38615680437,475.58623466335246,0.04801773952812027
CSD,LightGBM,ALBANI,,9874.498539616246,753.8043430620692,0.07633849354859132
CSD,LightGBM,ALBANI,,9349.971927871502,495.9927635010774,0.05304751365322964
CSD,LightGBM,ALBANI,,5104.732724646902,513.8548849214789,0.10066244652544909
CSD,LightGBM,ALBANI,,7197.0777792015015,1044.689612374876,0.14515469256062172
CSD,LightGBM,ALBANI,,5854.349767368239,220.28898742124545,0.03762825867513448
CSD,LightGBM,AYYO,,257.07286573112503,41.17876336013132,0.16018323537576534
CSD,LightGBM,AYYO,,274.62262293683233,50.97377699036474,0.18561390334579078
CSD,LightGBM,AYYO,,425.916243639787,96.25610665838363,0.22599773569516862
CSD,LightGBM,AYYO,,537.9425411433655,81.48422822803751,0.1514738508221483
CSD,LightGBM,AYYO,,423.4521601312505,40.040705587116705,0.09455780217228305
CSD,LightGBM,AYYO,,524.8196608557661,48.63237312992811,0.09266492236710153
CSD,LightGBM,AYYO,,413.8875354584978,84.5117423610415,0.20419011233914253
CSD,LightGBM,BORNHOLMS MOSTERI,,30.95081606575393,5.832233654356605,0.18843553727198106
CSD,LightGBM,BORNHOLMS MOSTERI,,28.488549234977786,4.860827693641428,0.17062391115632458
CSD,LightGBM,BORNHOLMS MOSTERI,,9.691807887958026,1.0685825070751505,0.11025626172417774
CSD,LightGBM,BORNHOLMS MOSTERI,,16.364320738589953,2.7009537639985672,0.16505138264793615
CSD,LightGBM,BORNHOLMS MOSTERI,,59.57592153079154,11.161033047344716,0.18734134127620986
CSD,LightGBM,BORNHOLMS MOSTERI,,80.96828149219448,13.155152194122742,0.16247290854741592
CSD,LightGBM,BORNHOLMS MOSTERI,,69.95464567676277,9.003340614473093,0.12870254044419788
CSD,LightGBM,BOYLAN,,47.58076137660801,5.648252933162774,0.11870875475186507
CSD,LightGBM,BOYLAN,,38.03922693324129,2.5306181238011964,0.06652653925492288
CSD,LightGBM,BOYLAN,,46.7557640420569,9.457056721465273,0.2022650450746272
CSD,LightGBM,BOYLAN,,30.2606253898637,3.8001817629762025,0.12558173249945906
CSD,LightGBM,BOYLAN,,42.8584747104786,5.727348970548513,0.13363398975904794
CSD,LightGBM,BOYLAN,,24.99359977552627,5.854831052603598,0.2342532130300273
CSD,LightGBM,BOYLAN,,34.280966881482556,7.298342554542517,0.21289780360555816
CSD,LightGBM,BRAIN LICKER,,0.6971515998580113,0.34117805758512965,0.48938861741781453
CSD,LightGBM,BRAIN LICKER,,1.559273417547161,0.7073051323609442,0.4536119992820639
CSD,LightGBM,BRAIN LICKER,,2.6321685377563298,1.0007672485547925,0.3802063713624699
CSD,LightGBM,BRAIN LICKER,,1.1922006367047229,0.31460204545685944,0.2638834737804105
CSD,LightGBM,BRAIN LICKER,,1.1829870707979462,0.5733112735206044,0.48463021082208074
CSD,LightGBM,BRAIN LICKER,,2.9662476144224748,0.8719969219568824,0.293973071471533
CSD,LightGBM,BRAIN LICKER,,6.324538749968715,1.3845724497196936,0.21892069990503932
CSD,LightGBM,BRITVIC,,2.464626421901381,0.9488054026838035,0.3849692571062475
CSD,LightGBM,BRITVIC,,0.5615822351911405,0.18618556937906783,0.3315374983606766
