dataset,category,model,val_wmape,test_wmape,test_mape,test_median
brand,CSD,LightGBM,16.08250313687936,15.587357933418874,93251057353.9785,33.97803015585701
brand,CSD,XGBoost,14.827220212249731,14.866194468349365,103874660089.79874,37.69719397676824
brand,danskvand,LightGBM,26.756343504816282,21.09133960834767,358868231444.4513,37.76218496306507
brand,danskvand,XGBoost,25.251581538160817,19.959134995079587,521658843758.1123,38.077242115738365
brand,energidrikke,LightGBM,7.9166810851675855,14.27370538363093,2101461815684.4062,48.31446714602121
brand,energidrikke,XGBoost,7.736807519686477,14.253974389152985,1143461529994.0452,47.00205459687332
brand,RTD,LightGBM,22.340353778211668,33.90708729211202,58904604752.62493,37.86950050624741
brand,RTD,XGBoost,24.57405202238789,33.62614566871133,37293676641.199425,36.62138816082116
