regime,category,model,wmape,median_mape,alpha,n_clipped,n_test,n_features
within_category,CSD,Ridge,22.78711521353529,28.824475112406635,10.0,27,665,12
within_category,danskvand,Ridge,21.486105199365753,35.119208876383844,1.0,5,174,12
within_category,energidrikke,Ridge,22.14874726697797,41.49066332588689,0.001,20,308,12
within_category,RTD,Ridge,56.29806570197671,34.33630241557511,0.001,28,372,12
all_categories,CSD,Ridge,25.134018811098947,31.899156217575314,0.001,26,665,12
all_categories,danskvand,Ridge,24.03826109232778,36.399662382828254,0.001,7,174,12
all_categories,energidrikke,Ridge,19.864617542446048,32.993959956589535,0.001,25,308,12
all_categories,RTD,Ridge,52.0435908947864,36.53320940666204,0.001,23,372,12
