category,feature,mean_abs_shap
CSD,lag_1,3.104614019393921
CSD,rolling_mean_4,0.41781163215637207
CSD,lag_2,0.23290389776229858
CSD,rolling_mean_13,0.17887115478515625
CSD,lag_3,0.10898236930370331
CSD,lag_13,0.09256825596094131
CSD,month,0.0910482108592987
CSD,lag_4,0.06862395256757736
CSD,peak_month,0.06359715014696121
CSD,lag_8,0.05166773870587349
CSD,rolling_std_4,0.04438353702425957
CSD,promo_intensity,0.04058384895324707
CSD,quarter,0.00557336863130331
danskvand,lag_1,2.058424472808838
danskvand,lag_2,0.7150858044624329
danskvand,rolling_std_4,0.49944213032722473
danskvand,lag_8,0.2828335464000702
danskvand,rolling_mean_4,0.21918585896492004
danskvand,lag_13,0.2166917473077774
danskvand,lag_3,0.19001929461956024
danskvand,peak_month,0.1244545727968216
danskvand,rolling_mean_13,0.11790094524621964
danskvand,lag_4,0.0868455171585083
danskvand,month,0.08316139131784439
danskvand,quarter,0.02543048746883869
energidrikke,lag_1,3.837149143218994
energidrikke,rolling_mean_4,0.4428340792655945
energidrikke,lag_2,0.2431746870279312
energidrikke,rolling_mean_13,0.1439562737941742
energidrikke,lag_3,0.12055153399705887
energidrikke,month,0.11461235582828522
energidrikke,lag_13,0.09423074871301651
energidrikke,rolling_std_4,0.08358671516180038
energidrikke,lag_8,0.05722496286034584
energidrikke,promo_intensity,0.0509847030043602
energidrikke,lag_4,0.04506474360823631
energidrikke,peak_month,0.04335145652294159
energidrikke,quarter,0.02873695269227028
RTD,lag_1,2.658109188079834
RTD,lag_2,0.3931562900543213
RTD,rolling_mean_13,0.2832232713699341
RTD,rolling_mean_4,0.16296875476837158
RTD,peak_month,0.1169964075088501
RTD,month,0.1117372065782547
RTD,lag_13,0.10885464400053024
RTD,rolling_std_4,0.10449433326721191
RTD,lag_8,0.06458129733800888
RTD,lag_4,0.059419382363557816
RTD,lag_3,0.054503414779901505
RTD,quarter,0.015699034556746483
