Parameter,Value
Language model,gpt-5.5-2026-04-23
Reasoning effort,medium
Temperature,None
Decoding,temperature/top_p unsupported by the model; defaults used
Categories evaluated,CSD
Distinct brands,3
Repeats per brand,3
Total runs,63
First run timestamp,2026-09-12T19:18:26
