category,ensemble,lower90,upper90,agreement,confidence,tier,actual,in_interval
CSD,469.2,66.3,3269.3,0.055,32.2,Low,649.4,True
CSD,497228.4,71339.2,3465591.6,0.408,42.8,Moderate,347731.2,True
CSD,430434.9,61756.0,3000052.4,0.5,45.6,Moderate,369867.0,True
CSD,537512.5,77119.0,3746364.0,0.987,60.2,Moderate,697566.8,True
CSD,442321.4,63461.4,3082899.3,0.911,57.9,Moderate,604861.5,True
CSD,663248.1,95159.0,4622719.1,0.556,47.2,Moderate,919340.3,True
CSD,1050063.2,150657.6,7318750.6,0.0,30.6,Low,1140865.6,True
CSD,734968.3,105449.1,5122595.6,0.814,55.0,Moderate,534645.3,True
CSD,613596.2,88035.2,4276654.0,0.942,58.8,Moderate,532467.5,True
CSD,1256460.6,180270.6,8757303.0,0.0,30.6,Low,1273876.5,True
CSD,1390417.6,199490.2,9690959.4,0.0,30.6,Low,1420073.0,True
CSD,717583.5,102954.8,5001426.7,0.401,42.6,Moderate,577013.4,True
CSD,920455.2,132062.0,6415405.6,0.87,56.6,Moderate,709463.9,True
CSD,47895.9,6870.9,333824.6,0.478,44.9,Moderate,18002.4,True
CSD,8882.3,1273.4,61907.2,0.637,49.7,Moderate,7528.1,True
CSD,13258.7,1901.3,92409.9,0.478,44.9,Moderate,2708.9,True
CSD,4463.4,639.4,31108.4,0.702,51.6,Moderate,1496.0,True
CSD,4585.5,656.9,31959.1,0.717,52.1,Moderate,643.9,False
CSD,1505.3,215.0,10490.7,0.723,52.3,Moderate,921.8,True
CSD,1925.8,275.3,13421.4,0.865,56.5,Moderate,991.9,True
CSD,350.2,49.2,2440.0,0.0,30.6,Low,119.0,True
CSD,277.7,38.8,1934.7,0.0,30.6,Low,127.0,True
CSD,179.2,24.7,1247.8,0.0,30.6,Low,71.0,True
CSD,151.9,20.8,1057.6,0.0,30.6,Low,39.0,True
CSD,141.2,19.3,982.9,0.0,30.6,Low,15.0,False
CSD,8618.7,1235.6,60070.0,0.556,47.2,Moderate,14433.4,True
CSD,9081.9,1302.0,63298.0,0.669,50.6,Moderate,12226.5,True
CSD,11311.3,1621.9,78836.6,0.558,47.3,Moderate,13473.0,True
CSD,9735.2,1395.8,67851.6,0.65,50.1,Moderate,13541.8,True
CSD,12858.1,1843.8,89617.7,0.796,54.5,Moderate,9737.8,True
CSD,13301.4,1907.4,92707.5,0.71,51.8,Moderate,7338.8,True
CSD,13652.1,1957.7,95151.7,0.717,52.1,Moderate,4621.0,True
CSD,8282.9,1187.4,57729.5,0.0,30.6,Low,3708.7,True
CSD,5411.1,775.4,37713.4,0.141,34.8,Low,2457.0,True
CSD,1109.1,158.1,7729.3,0.481,45.0,Moderate,1245.5,True
CSD,533.8,75.6,3719.4,0.157,35.3,Low,621.4,True
CSD,531.3,75.2,3701.9,0.0,30.6,Low,864.5,True
CSD,39011763.4,5597240.3,271904959.9,0.724,52.3,Moderate,33920993.5,True
CSD,37184003.6,5335001.1,259165803.9,0.667,50.6,Moderate,33150888.9,True
CSD,44713700.6,6415329.9,311646434.9,0.593,48.4,Moderate,48525724.6,True
CSD,37652370.9,5402200.5,262430239.6,0.693,51.4,Moderate,34610025.2,True
CSD,36330456.9,5212537.9,253216737.3,0.787,54.2,Moderate,36202114.5,True
CSD,44794990.0,6426993.0,312213007.2,0.797,54.5,Moderate,47530941.5,True
CSD,41618356.9,5971223.2,290072446.8,0.977,59.9,Moderate,32776313.9,True
CSD,38558598.0,5532222.1,268746478.9,0.808,54.8,Moderate,30956048.7,True
CSD,54784084.1,7860185.6,381835193.5,0.922,58.2,Moderate,57387373.2,True
CSD,30769754.6,4414712.1,214459643.8,0.954,59.2,Moderate,25223148.8,True
CSD,41821073.0,6000308.1,291485341.6,0.292,39.3,Low,31891716.6,True
CSD,44960680.9,6450765.6,313367843.1,0.489,45.2,Moderate,43818126.4,True
CSD,135.2,18.4,941.1,0.0,30.6,Low,15.0,False
CSD,141.8,19.3,987.1,0.0,30.6,Low,23.0,True
CSD,169.0,23.2,1176.6,0.0,30.6,Low,223.0,True
CSD,244.5,34.1,1702.8,0.0,30.6,Low,351.0,True
CSD,425.2,60.0,2962.6,0.046,32.0,Low,247.0,True
CSD,296.3,41.5,2064.3,0.0,30.6,Low,55.0,True
CSD,171.4,23.6,1193.8,0.0,30.6,Low,31.0,True
CSD,130.1,17.7,905.7,0.0,30.6,Low,23.0,True
CSD,133.4,18.1,928.6,0.0,30.6,Low,47.0,True
CSD,125889.7,18061.1,877427.6,0.816,55.1,Moderate,28042.9,True
CSD,18521.3,2656.4,129089.4,0.735,52.6,Moderate,15552.2,True
CSD,10877.8,1559.7,75815.4,0.714,52.0,Moderate,12580.9,True
CSD,10368.4,1486.6,72264.7,0.734,52.6,Moderate,19960.6,True
CSD,15931.7,2284.8,111040.1,0.477,44.9,Moderate,16005.3,True
CSD,12946.0,1856.4,90230.2,0.857,56.3,Moderate,9245.3,True
CSD,10814.3,1550.6,75372.7,0.687,51.2,Moderate,18601.1,True
CSD,13947.4,2000.1,97209.8,0.48,45.0,Moderate,14247.0,True
CSD,7374.9,1057.1,51400.6,0.603,48.7,Moderate,4835.2,True
CSD,5734.2,821.7,39965.4,0.677,50.9,Moderate,56855.0,False
CSD,171713.6,24635.7,1196811.8,0.432,43.5,Moderate,111229.3,True
CSD,119578.0,17155.5,833436.3,0.392,42.3,Moderate,109063.3,True
CSD,133322.7,19127.6,929234.3,0.37,41.7,Moderate,142244.6,True
